"","game_str","play_id","valid_steal","first_baserunner.x","second_baserunner.x","diagonalpitch_time","diagonalexchange_time","diagonalpop_time","sb_entry_time","sb_entry_x","eb_entry_y","tb_entry_time","tb_entry_x","tb_entry_y","fb_start_time","fb_start_x","fb_start_y","sb_start_time","sb_start_x","sb_start_y","fb_leadoff","time_to_second","time_to_third","sb_leadoff"
"1","1883_001_Vis4AB_Home4A",96,0,4875,NA,0.5,0.55,1.75,3258.152,10.9968,117.6006,NA,NA,NA,3256.002,48.3741,77.391,NA,NA,NA,19.7711303624755,2.15000000000009,NA,NA
"2","1883_006_Vis4AC_Home4A",19,1,586,NA,0.5,0.6,1.85,526.721,10.5651,116.2872,NA,NA,NA,524.671,44.0079,81.6423,NA,NA,NA,25.8651445714112,2.04999999999995,NA,NA
"3","1883_009_Vis4AD_Home4A",25,1,624,NA,0.5,0.7,1.85,759.29,11.9901,118.0854,NA,NA,NA,757.34,45.8316,82.1157,NA,NA,NA,24.9371288052574,1.94999999999993,NA,NA
"4","1883_016_Vis3AC_Home3A",86,0,9195,NA,0.55,3.85,4.55,3100.005,11.2071,117.0747,NA,NA,NA,3096.855,56.706,71.2482,NA,NA,NA,9.61189800403645,3.15000000000009,NA,NA
"5","1883_019_Vis4AF_Home4A",27,1,467,636,0.5,0.7,1.9,906.884,10.791,117.582,906.334,-49.002,79.6773,904.984,44.0997,86.0991,904.734,-21.3837,107.7555,29.084921538488,1.89999999999998,1.59999999999991,28.9563244549442
"6","1883_019_Vis4AF_Home4A",231,0,8947,NA,0.5,0.65,1.85,7702.384,11.7192,117.57,NA,NA,NA,7700.284,47.1552,79.8675,NA,NA,NA,22.3887518921891,2.10000000000036,NA,NA
"7","1883_021_Vis1AG_Home1A",225,1,5062,NA,0.55,1.5,2.25,8112.69,11.1,117.0192,NA,NA,NA,8109.34,54.4881,74.5254,NA,NA,NA,13.5635828146548,3.34999999999945,NA,NA
"8","1883_021_Vis1AG_Home1A",234,0,6060,NA,0.6,0.75,1.55,NA,NA,NA,NA,NA,NA,8449.94,55.0797,73.8753,NA,NA,NA,12.6892027401252,NA,NA,NA
"9","1883_024_Vis4AG_Home4A",122,1,8370,NA,0.5,1.55,2.75,5684.739,11.2392,116.9844,NA,NA,NA,5682.089,52.5879,77.1084,NA,NA,NA,16.7702075410533,2.64999999999964,NA,NA
"10","1883_025_Vis4AG_Home4A",129,0,3326,NA,0.45,0.65,1.85,3904.717,12.1263,117.6378,NA,NA,NA,3902.367,50.0661,77.7873,NA,NA,NA,18.8876623884482,2.34999999999991,NA,NA
"11","1883_030_Vis4AH_Home4A",162,0,636,NA,0.5,0.6,1.9,5111.507,12.1752,117.9726,NA,NA,NA,5109.457,47.5674,82.4841,NA,NA,NA,24.0931165184166,2.04999999999927,NA,NA
"12","1883_032_Vis1AH_Home1A",28,1,495,NA,0.5,0.7,2.05,926.383,12.1194,117.8778,NA,NA,NA,924.433,47.2566,80.5665,NA,NA,NA,22.8322795578979,1.95000000000005,NA,NA
"13","1883_035_Vis2AC_Home2A",117,1,8585,NA,0.55,0.75,1.95,4046.236,11.7945,117.3876,NA,NA,NA,4044.086,49.1433,80.1363,NA,NA,NA,21.2761091504062,2.15000000000009,NA,NA
"14","1883_036_Vis2AC_Home2A",80,0,3282,NA,0.5,0.65,1.85,2459.063,11.7291,117.516,NA,NA,NA,2456.713,48.2742,79.1004,NA,NA,NA,21.0637100673172,2.34999999999991,NA,NA
"15","1883_036_Vis2AC_Home2A",99,0,637,NA,0.55,0.8,2,3238.413,10.8717,116.7423,NA,NA,NA,3235.863,51.3315,76.8468,NA,NA,NA,17.3478620726013,2.55000000000018,NA,NA
"16","1883_037_Vis2AC_Home2A",34,1,975,NA,0.561,0.693,1.881,907.893,10.3347,116.3772,NA,NA,NA,905.88,47.0403,80.4942,NA,NA,NA,22.9247973541752,2.01300000000003,NA,NA
"17","1883_039_Vis3AE_Home3A",64,1,5504,NA,0.5,1.7,2.4,1641.572,11.9859,117.7029,NA,NA,NA,1638.222,54.0021,75.6759,NA,NA,NA,14.7798260213035,3.34999999999991,NA,NA
"18","1883_039_Vis4AI_Home4A",71,1,634,NA,0.45,0.7,1.95,2338.215,11.7009,118.6821,NA,NA,NA,2336.415,44.8461,86.7879,NA,NA,NA,29.1601866184015,1.80000000000018,NA,NA
"19","1883_039_Vis4AI_Home4A",135,1,4264,NA,0.5,0.6,1.75,4311.165,12.0291,117.7131,NA,NA,NA,4309.315,44.7453,81.5553,NA,NA,NA,25.2791316737739,1.85000000000036,NA,NA
"20","1883_039_Vis4AI_Home4A",141,0,2318,7757,0.55,0.55,1.35,NA,NA,NA,4581.365,-59.1408,69.5625,4580.065,48.8772,83.7849,4579.465,-24.6585,106.4073,24.36357370851,NA,1.89999999999964,32.3065198921208
"21","1883_039_Vis4AI_Home4A",196,1,4264,NA,0.5,0.7,1.85,6537.415,11.5323,117.8328,NA,NA,NA,6535.565,44.5053,81.8091,NA,NA,NA,25.6283236849389,1.85000000000036,NA,NA
"22","1883_043_Vis3AF_Home3A",33,0,769,NA,0.5,0.65,1.9,NA,NA,NA,NA,NA,NA,876.052,49.0206,79.3995,NA,NA,NA,20.7898813996136,NA,NA,NA
"23","1883_043_Vis3AF_Home3A",65,0,461,NA,0.5,0.55,1.75,1911.757,10.8717,116.4093,NA,NA,NA,1909.657,49.4157,80.5581,NA,NA,NA,21.4364386524441,2.10000000000014,NA,NA
"24","1883_043_Vis3AF_Home3A",67,0,3714,NA,0.45,0.6,1.8,2117.457,11.6274,118.3362,NA,NA,NA,2115.307,45.5679,80.9277,NA,NA,NA,24.2544040887423,2.15000000000009,NA,NA
"25","1883_045_Vis3AF_Home3A",123,1,547,NA,0.5,0.6,1.9,4100.981,10.8843,116.4852,NA,NA,NA,4099.031,47.5164,81.1161,NA,NA,NA,23.0721935708333,1.94999999999982,NA,NA
"26","1883_045_Vis3AF_Home3A",196,1,786,NA,0.45,0.7,1.95,6591.431,9.8946,115.3209,NA,NA,NA,6589.381,45.3966,79.7376,NA,NA,NA,23.5457418935994,2.04999999999927,NA,NA
"27","1883_046_Vis2AE_Home2A",6,0,6824,NA,0.495,0.792,2.079,136.815,12.0408,118.2882,NA,NA,NA,134.571,51.1164,78.5382,NA,NA,NA,18.7981511910081,2.244,NA,NA
"28","1883_047_Vis2AE_Home2A",90,0,442,NA,0.561,0.627,1.782,3114.097,9.8703,120.5991,NA,NA,NA,3111.853,48.8901,81.2652,NA,NA,NA,22.3172811303259,2.24400000000014,NA,NA
"29","1883_047_Vis2AE_Home2A",189,0,651,NA,0.495,0.66,1.881,6550.82,11.0142,117.4782,NA,NA,NA,6548.741,47.5023,79.8048,NA,NA,NA,22.1051531623285,2.07899999999972,NA,NA
"30","1883_048_Vis1AJ_Home1A",41,0,9093,NA,0.5,0.65,1.95,1213.939,11.6355,116.9781,NA,NA,NA,1211.539,49.5504,78.1818,NA,NA,NA,19.5252253098396,2.40000000000009,NA,NA
"31","1883_048_Vis1AJ_Home1A",173,1,513,NA,0.45,0.65,1.9,5317.589,10.2873,116.931,NA,NA,NA,5315.539,44.7606,81.3582,NA,NA,NA,25.1289798360379,2.05000000000018,NA,NA
"32","1884_001_Vis4AK_Home4A",166,1,8115,NA,0.5,0.75,2.15,5350.894,10.8834,116.3628,NA,NA,NA,5347.144,56.3598,73.0569,NA,NA,NA,11.2857828106871,3.75,NA,NA
"33","1884_002_Vis3AG_Home3A",249,1,5395,4062,0.55,0.8,1.7,10086.582,12.5337,117.8724,10085.732,-48.1416,78.5115,10081.582,56.0085,75.2337,10081.282,-10.8987,117.7824,13.3266084184987,5,4.45000000000073,14.4563504194523
"34","1884_002_Vis4AK_Home4A",96,0,8115,NA,0.5,0.8,1.95,3295.953,11.55,116.9034,NA,NA,NA,3291.553,56.4267,73.806,NA,NA,NA,11.8832090316547,4.40000000000009,NA,NA
"35","1884_004_Vis3AG_Home3A",218,0,572,NA,0.561,0.627,1.98,7120.918,11.4327,117.2616,NA,NA,NA,7118.08,55.1148,73.56,NA,NA,NA,12.4151363681596,2.83799999999974,NA,NA
"36","1884_004_Vis4AK_Home4A",164,1,6932,NA,0.45,0.65,1.9,5613.819,10.6776,116.3481,NA,NA,NA,5611.219,54.4557,74.1543,NA,NA,NA,13.2873908266446,2.60000000000036,NA,NA
"37","1884_005_Vis4AL_Home4A",236,1,NA,636,0.5,0.65,1.6,NA,NA,NA,7103.196,-48.7977,79.2102,NA,NA,NA,7100.096,-12.999,117.8724,NA,NA,3.10000000000036,16.0460879581286
"38","1884_005_Vis4AL_Home4A",285,0,467,NA,0.45,0.7,2,9126.062,9.8268,116.7048,NA,NA,NA,9121.662,56.8452,72.0879,NA,NA,NA,10.2105311051874,4.39999999999964,NA,NA
"39","1884_006_Vis4AL_Home4A",190,0,901,NA,0.495,0.528,1.815,6067.722,10.8552,117.282,NA,NA,NA,6063.267,54.8268,72.6339,NA,NA,NA,11.8744409321029,4.45499999999993,NA,NA
"40","1884_006_Vis4AL_Home4A",224,0,586,NA,0.495,0.528,1.782,7189.327,11.0157,117.4377,NA,NA,NA,7184.971,54.1617,72.7692,NA,NA,NA,12.4181346236059,4.35600000000068,NA,NA
"41","1884_006_Vis4AL_Home4A",280,0,NA,6966,0.495,2.211,3.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,9089.436,-14.1903,118.7238,NA,NA,NA,16.5702496218373
"42","1884_008_Vis1AK_Home1A",98,1,4794,NA,0.55,0.75,2.05,3461.476,9.9027,117.1773,NA,NA,NA,3459.476,46.5732,80.2584,NA,NA,NA,23.0735533631038,2,NA,NA
