"","game_str","play_id","timestamp","ball_position_x","ball_position_y","ball_position_z","Season","HomeTeam","AwayTeam","Day","pitch_time","exchange_time","pop_time"
"1","1883_001_Vis4AB_Home4A",96,3256402,1.035687,-7.86312,2.237673,"Season_1883","Home4A","Vis4AB","day_001",0.5,0.55,1.75
"2","1883_006_Vis4AC_Home4A",19,525021,0.01579857,-6.37677,0.862311,"Season_1883","Home4A","Vis4AC","day_006",0.5,0.6,1.85
"3","1883_009_Vis4AD_Home4A",25,757690,0.865539,-3.55728,-1.41582,"Season_1883","Home4A","Vis4AD","day_009",0.5,0.7,1.85
"4","1883_016_Vis3AC_Home3A",86,3098405,-16.665,-29.709,-0.1905,"Season_1883","Home3A","Vis3AC","day_016",0.55,3.85,4.55
"5","1883_019_Vis4AF_Home4A",231,7700634,-1.032573,-5.5779,1.162017,"Season_1883","Home4A","Vis4AF","day_019",0.5,0.65,1.85
"6","1883_019_Vis4AF_Home4A",27,905084,1.254939,-4.85214,0.371895,"Season_1883","Home4A","Vis4AF","day_019",0.5,0.7,1.9
"7","1883_021_Vis1AG_Home1A",225,8111040,-9.111,2.8233,-0.0417,"Season_1883","Home1A","Vis1AG","day_021",0.55,1.5,2.25
"8","1883_021_Vis1AG_Home1A",234,8450090,-0.2098521,-5.9856,-0.381906,"Season_1883","Home1A","Vis1AG","day_021",0.6,0.75,1.55
"9","1883_024_Vis4AG_Home4A",122,5682239,0.0986802,-5.89218,0.835827,"Season_1883","Home4A","Vis4AG","day_024",0.5,1.55,2.75
"10","1883_025_Vis4AG_Home4A",129,3902667,-0.680265,-6.02364,2.360895,"Season_1883","Home4A","Vis4AG","day_025",0.45,0.65,1.85
"11","1883_030_Vis4AH_Home4A",162,5109807,-0.362628,-6.43356,2.716815,"Season_1883","Home4A","Vis4AH","day_030",0.5,0.6,1.9
"12","1883_032_Vis1AH_Home1A",28,924783,0.149985,-4.36188,1.404459,"Season_1883","Home1A","Vis1AH","day_032",0.5,0.7,2.05
"13","1883_035_Vis2AC_Home2A",117,4044486,0.991893,-3.36567,-0.314598,"Season_1883","Home2A","Vis2AC","day_035",0.55,0.75,1.95
"14","1883_036_Vis2AC_Home2A",80,2457113,-1.081122,-1.725138,1.139265,"Season_1883","Home2A","Vis2AC","day_036",0.5,0.65,1.85
"15","1883_036_Vis2AC_Home2A",99,3236313,0.69426,-7.12815,-0.076134,"Season_1883","Home2A","Vis2AC","day_036",0.55,0.8,2
"16","1883_037_Vis2AC_Home2A",34,906375,0.917943,-5.62359,1.318941,"Season_1883","Home2A","Vis2AC","day_037",0.561,0.693,1.881
"17","1883_039_Vis3AE_Home3A",64,1640222,-8.7414,0.699,-0.1167,"Season_1883","Home3A","Vis3AE","day_039",0.5,1.7,2.4
"18","1883_039_Vis4AI_Home4A",135,4309665,-0.498759,-4.04925,1.98537,"Season_1883","Home4A","Vis4AI","day_039",0.5,0.6,1.75
"19","1883_039_Vis4AI_Home4A",141,4579815,0.756144,-2.089293,1.250754,"Season_1883","Home4A","Vis4AI","day_039",0.55,0.55,1.35
"20","1883_039_Vis4AI_Home4A",196,6535915,0.385647,-4.03164,-0.1913277,"Season_1883","Home4A","Vis4AI","day_039",0.5,0.7,1.85
"21","1883_039_Vis4AI_Home4A",71,2336715,-1.213068,-5.64069,0.791139,"Season_1883","Home4A","Vis4AI","day_039",0.45,0.7,1.95
"22","1883_043_Vis3AF_Home3A",33,876452,-1.504257,-7.1574,2.497137,"Season_1883","Home3A","Vis3AF","day_043",0.5,0.65,1.9
"23","1883_043_Vis3AF_Home3A",65,1910057,-1.496169,-7.55859,2.101125,"Season_1883","Home3A","Vis3AF","day_043",0.5,0.55,1.75
"24","1883_043_Vis3AF_Home3A",67,2115607,0.648408,-4.13067,1.637802,"Season_1883","Home3A","Vis3AF","day_043",0.45,0.6,1.8
"25","1883_045_Vis3AF_Home3A",123,4099431,-1.148304,-5.51463,4.26861,"Season_1883","Home3A","Vis3AF","day_045",0.5,0.6,1.9
"26","1883_045_Vis3AF_Home3A",196,6589731,0.591639,-5.08722,2.717853,"Season_1883","Home3A","Vis3AF","day_045",0.45,0.7,1.95
"27","1883_046_Vis2AE_Home2A",6,134967,-1.798032,-6.09285,2.319294,"Season_1883","Home2A","Vis2AE","day_046",0.495,0.792,2.079
"28","1883_047_Vis2AE_Home2A",189,6549170,-0.703161,-7.78872,3.19635,"Season_1883","Home2A","Vis2AE","day_047",0.495,0.66,1.881
"29","1883_047_Vis2AE_Home2A",90,3112348,0.355497,-5.04081,1.79322,"Season_1883","Home2A","Vis2AE","day_047",0.561,0.627,1.782
"30","1883_048_Vis1AJ_Home1A",173,5315839,0.311415,-3.81765,1.673049,"Season_1883","Home1A","Vis1AJ","day_048",0.45,0.65,1.9
"31","1883_048_Vis1AJ_Home1A",41,1211889,-0.974019,-3.35298,1.638669,"Season_1883","Home1A","Vis1AJ","day_048",0.5,0.65,1.95
"32","1884_001_Vis4AK_Home4A",166,5349144,-0.658167,-2.804175,1.564251,"Season_1884","Home4A","Vis4AK","day_001",0.5,0.75,2.15
"33","1884_002_Vis3AG_Home3A",249,10084582,2.121948,-4.79799,0.777828,"Season_1884","Home3A","Vis3AG","day_002",0.55,0.8,1.7
"34","1884_002_Vis4AK_Home4A",96,3294003,-0.343041,-3.74808,0.682182,"Season_1884","Home4A","Vis4AK","day_002",0.5,0.8,1.95
"35","1884_004_Vis3AG_Home3A",218,7119301,1.24248,-6.91194,-0.00460512,"Season_1884","Home3A","Vis3AG","day_004",0.561,0.627,1.98
"36","1884_004_Vis4AK_Home4A",164,5612269,0.982251,-4.55172,2.124339,"Season_1884","Home4A","Vis4AK","day_004",0.45,0.65,1.9
"37","1884_005_Vis4AL_Home4A",236,7102196,-1.887966,-3.42564,0.878403,"Season_1884","Home4A","Vis4AL","day_005",0.5,0.65,1.6
"38","1884_005_Vis4AL_Home4A",285,9124212,0.0795183,-2.823147,1.867311,"Season_1884","Home4A","Vis4AL","day_005",0.45,0.7,2
"39","1884_006_Vis4AL_Home4A",190,6066072,-0.921165,-3.46515,1.065402,"Season_1884","Home4A","Vis4AL","day_006",0.495,0.528,1.815
"40","1884_006_Vis4AL_Home4A",224,7187743,1.504668,-2.60973,0.728823,"Season_1884","Home4A","Vis4AL","day_006",0.495,0.528,1.782
"41","1884_006_Vis4AL_Home4A",280,9092670,1.343592,-3.84864,-1.068258,"Season_1884","Home4A","Vis4AL","day_006",0.495,2.211,3.399
"42","1884_008_Vis1AK_Home1A",101,3529276,-0.400677,-6.43737,2.246373,"Season_1884","Home1A","Vis1AK","day_008",0.5,0.65,1.6
"43","1884_008_Vis1AK_Home1A",98,3459876,-0.652746,-6.81624,0.608805,"Season_1884","Home1A","Vis1AK","day_008",0.55,0.75,2.05
"44","1884_009.5_Vis1AK_Home1A",65,1892848,-0.273186,-6.77109,-0.172305,"Season_1884","Home1A","Vis1AK","day_009.5",0.55,0.7,1.9
