"","game_str","play_id","pitch_time","exchange_time","pop_time","valid_steal","expected_cs","sb_entry_time","tb_entry_time","fielder_catch_time","pitcher","catcher","steal_with_average_catcher","steals_with_average_pitcher"
"1","1883_001_Vis4AB_Home4A",96,0.5,0.55,1.75,0,1,3258302,NA,3258152,983,652,1,1
"6","1883_006_Vis4AC_Home4A",19,0.5,0.6,1.85,1,1,527171,NA,526871,3081,7893,1,1
"11","1883_009_Vis4AD_Home4A",25,0.5,0.7,1.85,1,0,759490,NA,759540,9832,4741,1,0
"16","1883_019_Vis4AF_Home4A",27,0.5,0.7,1.9,1,0,907034,906784,906984,8734,2738,1,1
"21","1883_019_Vis4AF_Home4A",231,0.5,0.65,1.85,0,1,7702584,NA,7702484,722,530,1,1
"26","1883_021_Vis1AG_Home1A",225,0.55,1.5,2.25,1,1,8112890,NA,8112890,551,936,1,0
"32","1883_021_Vis1AG_Home1A",234,0.6,0.75,1.55,0,1,NA,NA,8451640,511,936,0,0
"37","1883_025_Vis4AG_Home4A",129,0.45,0.65,1.85,0,1,3904917,NA,3904517,983,530,1,1
"42","1883_030_Vis4AH_Home4A",162,0.5,0.6,1.9,0,1,5111707,NA,5111707,6999,2693,1,0
"47","1883_032_Vis1AH_Home1A",28,0.5,0.7,2.05,1,0,926583,NA,926833,4989,2866,1,0
"52","1883_035_Vis2AC_Home2A",117,0.55,0.75,1.95,1,1,4046436,NA,4046436,923,647,1,0
"57","1883_036_Vis2AC_Home2A",80,0.5,0.65,1.85,0,1,2459263,NA,2458963,550,544,1,1
"62","1883_036_Vis2AC_Home2A",99,0.55,0.8,2,0,1,NA,NA,3238313,7328,6073,0,0
"67","1883_037_Vis2AC_Home2A",34,0.561,0.693,1.881,1,0,908058,NA,908256,9864,6688,1,0
"72","1883_039_Vis3AE_Home3A",64,0.5,1.7,2.4,1,0,1641772,NA,1642172,966,920,1,0
"78","1883_039_Vis4AI_Home4A",71,0.45,0.7,1.95,1,0,2338415,NA,2338665,2674,7448,1,0
"83","1883_039_Vis4AI_Home4A",135,0.5,0.6,1.75,1,1,4311415,NA,4311415,463,530,1,0
"88","1883_039_Vis4AI_Home4A",141,0.55,0.55,1.35,0,1,NA,4581315,4581165,463,530,1,1
"93","1883_039_Vis4AI_Home4A",196,0.5,0.7,1.85,1,0,6537665,NA,6537765,995,530,1,0
"98","1883_043_Vis3AF_Home3A",33,0.5,0.65,1.9,0,1,NA,NA,878352,6366,4134,0,0
"103","1883_043_Vis3AF_Home3A",65,0.5,0.55,1.75,0,1,1911957,NA,1911807,6366,4134,1,1
"108","1883_043_Vis3AF_Home3A",67,0.45,0.6,1.8,0,1,2117657,NA,2117407,645,920,1,1
"113","1883_045_Vis3AF_Home3A",123,0.5,0.6,1.9,1,0,4101181,NA,4101331,4711,3449,1,0
"118","1883_045_Vis3AF_Home3A",196,0.45,0.7,1.95,1,0,6591631,NA,6591681,6157,3449,1,0
"123","1883_046_Vis2AE_Home2A",6,0.495,0.792,2.079,0,0,136980,NA,137046,550,544,1,0
"128","1883_047_Vis2AE_Home2A",90,0.561,0.627,1.782,0,1,3114229,NA,3114130,3337,9834,1,1
"133","1883_047_Vis2AE_Home2A",189,0.495,0.66,1.881,0,0,6550985,NA,6551051,2700,9834,1,0
"138","1883_048_Vis1AJ_Home1A",41,0.5,0.65,1.95,0,1,1214189,NA,1213839,602,408,1,1
"143","1883_048_Vis1AJ_Home1A",173,0.45,0.65,1.9,1,1,5317789,NA,5317739,8977,9072,1,1
"148","1884_001_Vis4AK_Home4A",166,0.5,0.75,2.15,1,0,5351194,NA,5351294,811,431,1,0
"153","1884_002_Vis3AG_Home3A",249,0.55,0.8,1.7,1,0,10086832,10086132,10086282,947,786,1,1
"158","1884_002_Vis4AK_Home4A",96,0.5,0.8,1.95,0,1,3296153,NA,3295953,659,520,1,1
"163","1884_004_Vis3AG_Home3A",218,0.561,0.627,1.98,0,0,7121116,NA,7121281,3136,4829,1,0
"168","1884_004_Vis4AK_Home4A",164,0.45,0.65,1.9,1,0,5614019,NA,5614169,380,431,1,0
"173","1884_005_Vis4AL_Home4A",236,0.5,0.65,1.6,1,0,NA,7103596,7103796,5460,2384,1,0
"178","1884_005_Vis4AL_Home4A",285,0.45,0.7,2,0,1,9126262,NA,9126212,8503,2384,1,1
"183","1884_006_Vis4AL_Home4A",190,0.495,0.528,1.815,0,1,6067887,NA,6067887,7709,5807,1,1
"188","1884_006_Vis4AL_Home4A",224,0.495,0.528,1.782,0,0,7189492,NA,7189525,7709,5807,1,0
"193","1884_008_Vis1AK_Home1A",98,0.55,0.75,2.05,1,0,3461626,NA,3461926,473,418,1,0
"198","1884_008_Vis1AK_Home1A",101,0.5,0.65,1.6,1,0,NA,3530676,3530876,473,418,1,0
"203","1884_009.5_Vis1AK_Home1A",65,0.55,0.7,1.9,0,1,1894898,NA,1894748,5991,2712,1,1
"208","1884_010_Vis2AF_Home2A",89,0.5,0.65,1.55,1,1,NA,NA,2981064,3268,5444,0,0
"213","1884_010_Vis3AH_Home3A",276,0.5,0.8,1.65,1,1,9046631,9046131,9043381,677,786,1,1
"218","1884_012_Vis3AH_Home3A",22,0.45,0.7,2,0,1,626432,NA,623532,3745,7648,1,1
"223","1884_012_Vis3AH_Home3A",173,0.5,0.6,1.9,1,1,6012032,NA,6009382,891,936,1,1
"228","1884_012_Vis3AH_Home3A",198,0.55,0.75,2,1,1,6774232,NA,6771332,8563,7648,1,1
"233","1884_014_Vis2AG_Home2A",45,0.5,0.6,2,0,0,1289635,NA,1289685,602,544,1,0
"238","1884_014_Vis4AM_Home4A",207,0.45,0.8,2,1,0,6940791,NA,6940941,811,520,1,0
"243","1884_014_Vis4AM_Home4A",286,0.5,0.8,2,1,1,9716291,NA,9716291,792,520,1,0
"248","1884_015_Vis4AM_Home4A",5,0.5,0.65,1.9,1,0,114425,NA,114625,722,431,1,0
"253","1884_015_Vis4AM_Home4A",41,0.45,0.65,1.9,0,1,1179225,NA,1179075,6395,4185,1,1
"258","1884_015_Vis4AM_Home4A",92,0.5,0.6,1.9,1,1,2897175,NA,2897075,722,431,1,1
"263","1884_015_Vis4AM_Home4A",126,0.5,0.75,2,1,1,3945575,NA,3945325,722,431,1,1
"268","1884_016_Vis4AN_Home4A",86,0.5,0.75,1.6,0,0,NA,3088785,3088935,933,520,1,0
"273","1884_016_Vis4AN_Home4A",231,0.6,0.8,2,1,0,8402785,NA,8402885,612,520,1,0
"278","1884_017.5_Vis1AL_Home1A",23,0.495,0.825,2.046,1,0,659106,NA,659271,8231,8509,1,0
"283","1884_017_Vis4AN_Home4A",58,0.55,0.75,1.95,1,0,1581024,NA,1581224,8306,2409,1,0
"288","1884_018_Vis1AL_Home1A",184,0.55,0.9,2.15,1,0,6223025,NA,6223275,473,737,1,0
