"","game_str","play_id","valid_steal","first_baserunner.x","second_baserunner.x","diagonalpitch_time","diagonalexchange_time","diagonalpop_time","sb_entry_time","sb_entry_x","eb_entry_y","tb_entry_time","tb_entry_x","tb_entry_y"
"1","1883_001_Vis4AB_Home4A",96,0,4875,NA,0.5,0.55,1.75,3258302,8.4861,120.6954,NA,NA,NA
"2","1883_006_Vis4AC_Home4A",19,1,586,NA,0.5,0.6,1.85,527171,7.5972,120.0735,NA,NA,NA
"3","1883_009_Vis4AD_Home4A",25,1,624,NA,0.5,0.7,1.85,759490,8.7957,121.0386,NA,NA,NA
"4","1883_016_Vis3AC_Home3A",86,0,9195,NA,0.55,3.85,4.55,3100205,7.2678,120.4377,NA,NA,NA
"5","1883_019_Vis4AF_Home4A",27,1,467,636,0.5,0.7,1.9,907034,8.1186,120.2667,906784,-56.4396,71.0517
"6","1883_019_Vis4AF_Home4A",231,0,8947,NA,0.5,0.65,1.85,7702584,8.1435,121.7088,NA,NA,NA
"7","1883_021_Vis1AG_Home1A",225,1,5062,NA,0.55,1.5,2.25,8112890,7.3527,120.7758,NA,NA,NA
"8","1883_021_Vis1AG_Home1A",234,0,6060,NA,0.6,0.75,1.55,NA,NA,NA,NA,NA,NA
"9","1883_024_Vis4AG_Home4A",122,1,8370,NA,0.5,1.55,2.75,5684939,7.3545,120.1302,NA,NA,NA
"10","1883_025_Vis4AG_Home4A",129,0,3326,NA,0.45,0.65,1.85,3904917,8.7465,120.9333,NA,NA,NA
"11","1883_030_Vis4AH_Home4A",162,0,636,NA,0.5,0.6,1.9,5111707,8.5398,121.035,NA,NA,NA
"12","1883_032_Vis1AH_Home1A",28,1,495,NA,0.5,0.7,2.05,926583,8.0418,121.8111,NA,NA,NA
"13","1883_035_Vis2AC_Home2A",117,1,8585,NA,0.55,0.75,1.95,4046436,7.6653,120.8127,NA,NA,NA
"14","1883_036_Vis2AC_Home2A",80,0,3282,NA,0.5,0.65,1.85,2459263,8.6094,121.1556,NA,NA,NA
"15","1883_036_Vis2AC_Home2A",99,0,637,NA,0.55,0.8,2,NA,NA,NA,NA,NA,NA
"16","1883_037_Vis2AC_Home2A",34,1,975,NA,0.561,0.693,1.881,908058,6.9558,119.9439,NA,NA,NA
"17","1883_039_Vis3AE_Home3A",64,1,5504,NA,0.5,1.7,2.4,1641772,8.4276,120.9219,NA,NA,NA
"18","1883_039_Vis4AI_Home4A",71,1,634,NA,0.45,0.7,1.95,2338415,8.1804,121.4772,NA,NA,NA
"19","1883_039_Vis4AI_Home4A",135,1,4264,NA,0.5,0.6,1.75,4311415,8.5122,120.7506,NA,NA,NA
"20","1883_039_Vis4AI_Home4A",141,0,2318,7757,0.55,0.55,1.35,NA,NA,NA,4581315,-58.1799,70.7589
"21","1883_039_Vis4AI_Home4A",196,1,4264,NA,0.5,0.7,1.85,6537665,7.7235,121.2192,NA,NA,NA
"22","1883_043_Vis3AF_Home3A",33,0,769,NA,0.5,0.65,1.9,NA,NA,NA,NA,NA,NA
"23","1883_043_Vis3AF_Home3A",65,0,461,NA,0.5,0.55,1.75,1911957,7.8714,120.0963,NA,NA,NA
"24","1883_043_Vis3AF_Home3A",67,0,3714,NA,0.45,0.6,1.8,2117657,8.3214,121.3386,NA,NA,NA
"25","1883_045_Vis3AF_Home3A",123,1,547,NA,0.5,0.6,1.9,4101181,7.1646,120.0657,NA,NA,NA
"26","1883_045_Vis3AF_Home3A",196,1,786,NA,0.45,0.7,1.95,6591631,6.7035,119.7003,NA,NA,NA
"27","1883_046_Vis2AE_Home2A",6,0,6824,NA,0.495,0.792,2.079,136980,8.2998,121.7157,NA,NA,NA
"28","1883_047_Vis2AE_Home2A",90,0,442,NA,0.561,0.627,1.782,3114229,7.5537,122.5164,NA,NA,NA
"29","1883_047_Vis2AE_Home2A",189,0,651,NA,0.495,0.66,1.881,6550985,7.9902,120.3291,NA,NA,NA
"30","1883_048_Vis1AJ_Home1A",41,0,9093,NA,0.5,0.65,1.95,1214189,7.8369,120.468,NA,NA,NA
"31","1883_048_Vis1AJ_Home1A",173,1,513,NA,0.45,0.65,1.9,5317789,7.02,119.7834,NA,NA,NA
"32","1884_001_Vis4AK_Home4A",166,1,8115,NA,0.5,0.75,2.15,5351194,7.2486,120.1494,NA,NA,NA
"33","1884_002_Vis3AG_Home3A",249,1,5395,4062,0.55,0.8,1.7,10086832,8.7609,120.8859,10086132,-55.3959,71.1033
"34","1884_002_Vis4AK_Home4A",96,0,8115,NA,0.5,0.8,1.95,3296153,7.8345,120.5724,NA,NA,NA
"35","1884_004_Vis3AG_Home3A",218,0,572,NA,0.561,0.627,1.98,7121116,8.1696,120.9048,NA,NA,NA
"36","1884_004_Vis4AK_Home4A",164,1,6932,NA,0.45,0.65,1.9,5614019,6.9936,119.6634,NA,NA,NA
"37","1884_005_Vis4AL_Home4A",236,1,NA,636,0.5,0.65,1.6,NA,NA,NA,7103596,-56.0289,71.1867
"38","1884_005_Vis4AL_Home4A",285,0,467,NA,0.45,0.7,2,9126262,6.1236,119.5752,NA,NA,NA
"39","1884_006_Vis4AL_Home4A",190,0,901,NA,0.495,0.528,1.815,6067887,7.8063,120.1635,NA,NA,NA
"40","1884_006_Vis4AL_Home4A",224,0,586,NA,0.495,0.528,1.782,7189492,7.5519,120.6564,NA,NA,NA
"41","1884_006_Vis4AL_Home4A",280,0,NA,6966,0.495,2.211,3.399,NA,NA,NA,NA,NA,NA
"42","1884_008_Vis1AK_Home1A",98,1,4794,NA,0.55,0.75,2.05,3461626,6.8589,120.3114,NA,NA,NA
"43","1884_008_Vis1AK_Home1A",101,1,NA,4794,0.5,0.65,1.6,NA,NA,NA,3530676,-55.8111,71.916
"44","1884_009.5_Vis1AK_Home1A",65,0,753,NA,0.55,0.7,1.9,1894898,7.0674,119.2533,NA,NA,NA
"45","1884_010_Vis2AF_Home2A",89,1,702,471,0.5,0.65,1.55,NA,NA,NA,NA,NA,NA
"46","1884_010_Vis3AH_Home3A",276,1,4269,3571,0.5,0.8,1.65,9046631,7.8705,120.1251,9046131,-55.9428,71.2662
"47","1884_011_Vis3AH_Home3A",48,1,7648,7811,0.6,2.9,3.75,NA,NA,NA,1371832,-56.0826,71.3337
"48","1884_012_Vis3AH_Home3A",22,0,547,NA,0.45,0.7,2,626432,7.3995,119.5455,NA,NA,NA
"49","1884_012_Vis3AH_Home3A",173,1,4437,NA,0.5,0.6,1.9,6012032,7.1772,119.3172,NA,NA,NA
"50","1884_012_Vis3AH_Home3A",198,1,475,NA,0.55,0.75,2,6774232,7.4424,120.8262,NA,NA,NA
"51","1884_014_Vis2AG_Home2A",45,0,6193,NA,0.5,0.6,2,1289635,6.4002,119.6574,NA,NA,NA
"52","1884_014_Vis4AM_Home4A",207,1,6038,NA,0.45,0.8,2,6940791,6.8976,120.0963,NA,NA,NA
"53","1884_014_Vis4AM_Home4A",286,1,8890,NA,0.5,0.8,2,9716291,7.5753,120.1902,NA,NA,NA
"54","1884_015_Vis4AM_Home4A",5,1,6038,NA,0.5,0.65,1.9,114425,7.0815,120.2601,NA,NA,NA
"55","1884_015_Vis4AM_Home4A",41,0,460,NA,0.45,0.65,1.9,1179225,7.8765,119.988,NA,NA,NA
"56","1884_015_Vis4AM_Home4A",92,1,6038,NA,0.5,0.6,1.9,2897175,6.7317,119.3151,NA,NA,NA
"57","1884_015_Vis4AM_Home4A",126,1,8890,NA,0.5,0.75,2,3945575,8.3268,121.1967,NA,NA,NA
"58","1884_016_Vis4AN_Home4A",86,0,NA,9927,0.5,0.75,1.6,NA,NA,NA,3088785,-55.5186,70.5627
"59","1884_016_Vis4AN_Home4A",231,1,9751,NA,0.6,0.8,2,8402785,8.3058,120.8007,NA,NA,NA
"60","1884_017.5_Vis1AL_Home1A",23,1,753,NA,0.495,0.825,2.046,659106,8.1039,120.1947,NA,NA,NA
"61","1884_017_Vis1AL_Home1A",7,1,4997,NA,0.495,1.617,2.805,205893,7.326,120.3159,NA,NA,NA
"62","1884_017_Vis4AN_Home4A",58,1,337,NA,0.55,0.75,1.95,1581024,7.8948,120.0012,NA,NA,NA
"63","1884_018_Vis1AL_Home1A",184,1,4938,NA,0.55,0.9,2.15,6223025,8.6766,121.4115,NA,NA,NA
"64","1884_018_Vis4AN_Home4A",22,0,NA,636,0.45,0.6,1.85,NA,NA,NA,NA,NA,NA
"65","1884_018_Vis4AN_Home4A",146,0,9655,NA,0.5,0.8,1.95,4914278,7.365,120.3366,NA,NA,NA
"66","1884_018_Vis4AN_Home4A",156,0,6239,NA,0.45,0.8,2.05,5223728,6.6078,119.8146,NA,NA,NA
"67","1884_019_Vis3AI_Home3A",100,1,786,NA,0.55,0.75,2.05,3417293,6.5676,119.6925,NA,NA,NA
"68","1884_021_Vis3AI_Home3A",82,0,719,NA,0.5,0.75,2.05,2580323,8.1897,120.9036,NA,NA,NA
"69","1884_022_Vis1AM_Home1A",104,1,737,NA,0.495,0.627,1.848,3243300,7.4967,119.712,NA,NA,NA
"70","1884_022_Vis3AI_Home3A",243,1,404,975,0.528,0.726,1.65,NA,NA,NA,7572983,-55.1865,71.391
"71","1884_022_Vis3AI_Home3A",267,0,7934,NA,0.462,2.838,3.993,8349276,7.4682,122.5728,NA,NA,NA
"72","1884_023_Vis3AI_Home3A",175,1,547,NA,0.528,0.693,2.013,6614268,6.9522,120.1482,NA,NA,NA
"73","1884_024_Vis2AH_Home2A",102,NA,NA,NA,0.5,0.85,2.15,NA,NA,NA,NA,NA,NA
"74","1884_024_Vis2AH_Home2A",207,0,2702,5818,0.5,0.65,1.6,NA,NA,NA,6788577,-55.6761,71.1267
"75","1884_025_Vis2AH_Home2A",54,1,5088,NA,0.6,0.6,1.85,1607122,6.6081,120.3231,NA,NA,NA
"76","1884_025_Vis2AH_Home2A",86,1,3442,NA,0.55,0.65,1.95,2672022,7.941,120.0486,NA,NA,NA
"77","1884_026_Vis2AH_Home2A",74,1,993,NA,0.5,0.65,1.95,NA,NA,NA,NA,NA,NA
"78","1884_026_Vis4AO_Home4A",110,1,636,467,0.5,0.75,1.55,3947248,8.8065,120.912,3946898,-56.3328,70.9638
"79","1884_027_Vis2AI_Home2A",4,1,5980,NA,0.45,0.7,1.95,90217,7.9542,120.0705,NA,NA,NA
"80","1884_027_Vis2AI_Home2A",128,1,544,NA,0.45,1.1,2.75,3913417,8.6862,121.1973,NA,NA,NA
"81","1884_027_Vis2AI_Home2A",150,1,NA,5980,0.55,0.7,1.6,NA,NA,NA,4671867,-55.3542,71.6166
"82","1884_027_Vis2AI_Home2A",180,0,5642,NA,0.5,0.65,1.8,5703167,7.7055,121.164,NA,NA,NA
"83","1884_030_Vis1AN_Home1A",32,0,NA,753,0.5,0.65,1.8,NA,NA,NA,NA,NA,NA
"84","1884_030_Vis1AN_Home1A",107,0,NA,626,0.45,0.6,1.45,NA,NA,NA,3331496,-55.1325,71.3613
"85","1884_031_Vis1AN_Home1A",132,0,435,NA,0.5,0.7,1.9,4421640,6.5115,119.997,NA,NA,NA
"86","1884_031_Vis3AJ_Home3A",259,1,786,NA,0.561,0.561,1.881,8546338,6.7203,119.091,NA,NA,NA
"87","1884_031_Vis3AJ_Home3A",284,1,3534,NA,0.495,0.627,1.914,9428297,8.1645,120.9696,NA,NA,NA
"88","1884_031_Vis3AJ_Home3A",301,1,975,NA,0.495,0.594,1.881,10025168,8.6517,120.8289,NA,NA,NA
"89","1884_031_Vis4AP_Home4A",148,1,3424,NA,0.429,0.726,1.914,6815322,7.6674,120.252,NA,NA,NA
"90","1884_032_Vis1AN_Home1A",166,1,7440,NA,0.594,0.693,1.881,5703940,7.5147,119.8431,NA,NA,NA
"91","1884_032_Vis1AN_Home1A",286,0,877,NA,0.462,0.693,1.65,NA,NA,NA,NA,NA,NA
"92","1884_033_Vis1AO_Home1A",166,0,NA,753,0.5,0.75,1.95,NA,NA,NA,NA,NA,NA
"93","1884_033_Vis3AJ_Home3A",204,1,547,404,0.5,0.55,1.45,NA,NA,NA,6282785,-55.7763,71.1918
"94","1884_033_Vis4AP_Home4A",141,1,337,NA,0.5,0.6,1.9,4399913,7.8618,120.8643,NA,NA,NA
"95","1884_034_Vis1AO_Home1A",127,0,537,NA,0.6,1.75,2.6,NA,NA,NA,NA,NA,NA
